Name,Surname,Age,Gender,Daily Hours in Game,Game,Rating,Country
Elias,Kelly,17,Male,4.0,The Lord of the Rings: The Two Towers,1,China
Aurora,Sanchez,14,Female,3.0,Archon II: Adept,3,Turkmenistan
Finn,Robinson,58,Male,3.0,SSX 3,3,United States
Raphael,Perez,18,Male,4.0,The Need for Speed,4,Russia
Jonas,Cook,16,Male,3.9,NFL Street 3,5,Czech Republic
Milo,Anderson,17,Male,3.5,Madden NFL 06,3,Moldova
Enzo,Walker,17,Male,3.3,Knockout Kings,3,Russia
Fritz,Kelly,16,Male,4.0,Sentinel Worlds I: Future Magic,3,China
Nikolai,Stewart,41,Male,3.0,Chuck Yeager's Air Combat,3,Kyrgyzstan
Richard,Reed,61,Male,3.9,NHLPA Hockey '93,4,France
Lucia,Harris,15,Female,3.7,FIFA 22,3,Kazakhstan
Molly,Lopez,13,Female,3.6,Boogie,4,Monaco
Josephine,Rodriguez,44,Female,3.3,Bill Walsh College Football '95,5,Cyprus
Florian,Ramirez,20,Male,4.0,Auto Destruct,4,Albania
Poppy,King,50,Female,3.9,Championship Bass,4,Russia
Levin,Edwards,66,Male,4.0,MySims Racing,4,Russia
Hannah,Morris,12,Male,3.6,Madden NFL 23,4,North Macedonia
Fabio,Smith,15,Male,3.0,FIFA 18,3,Moldova
Nico,White,16,Male,3.4,The Seven Cities of Gold,3,Malta
Hazel,Bailey,51,Female,4.0,NFL Blitz,1,United States
Andreas,Ramirez,16,Male,3.7,EA Sports Active 2,4,China
Karl,Davis,15,Male,3.0,The Lord of the Rings: The Two Towers,3,Liechtenstein
Jonathan,Bailey,15,Male,4.0,Dante's Inferno,1,Slovakia
Ruby,King,16,Female,3.1,"Need for Speed: Special Edition, The",4,Switzerland
Benedikt,Morales,18,Male,3.1,NHL 2000,3,North Macedonia
Maximilian,Wright,17,Male,4.0,Triple Play 97,4,Russia
Karl,Morgan,10,Male,3.0,The Sims 4: Discover University,3,China
Dylan,Thomas,16,Male,3.4,Soviet Strike,4,Slovakia
Lucas,Wilson,14,Male,3.4,MySims,3,Monaco
Fabio,Martin,16,Male,3.5,Spore Creature Creator,4,Portugal
Nova,Jones,15,Female,4.0,FIFA Online 4,2,United Kingdom
Jonah,Nguyen,17,Male,3.5,SSX 3,1,Luxembourg
Gabrielle,Robinson,18,Female,3.3,Madden NFL 98,4,Turkmenistan
Jonah,Smith,15,Male,3.7,NBA Live 10,3,China
Fabian,Cooper,15,Male,3.0,Star Trek,4,Portugal
David,Morgan,15,Male,3.1,NHL Hockey 94,4,China
Stefan,Allen,18,Male,3.4,GRID Legends,1,Turkmenistan
Leonardo,Morris,66,Male,3.0,NBA Live 95,4,Russia
Leah,Edwards,16,Female,4.0,Outdoorsman Mania,4,China
Leopold,Wright,15,Male,3.0,Need for Speed Unbound,4,Romania
Samuel,Gonzalez,54,Male,3.9,SimCity 3000 Unlimited,3,Spain
Leonardo,Taylor,16,Male,3.1,NHL 19,4,Turkey
Raphael,Wright,18,Male,3.6,Madden NFL 2001,3,United States
Alexander,Collins,16,Male,3.0,FIFA Street 3,3,Turkey
Lukas,Lopez,17,Male,3.0,EA College Football,4,Poland
Paul,Gonzalez,14,Male,3.9,Crusader: No Regret,3,Canada
Fabio,Gutierrez,11,Male,3.8,Nox,4,Malta
Nora,Torres,17,Female,3.9,MySims,3,Russia
Maksim,Thompson,17,Male,3.3,Tales of Kenzera: Zau,3,Kyrgyzstan
Rebecca,Adams,16,Female,3.2,The Immortal,3,Russia
Benedikt,Cruz,15,Male,3.0,PGA Tour 97,4,Slovenia
Philipp,Clark,14,Male,3.5,Madden NFL 2004,4,Monaco
Emanuel,Cook,17,Male,4.0,Crüe Ball,3,United Kingdom
Maksim,Sanchez,11,Male,3.8,NCAA Football 2003,5,Lithuania
Jannis,Cook,17,Male,4.0,The Sims Life Stories,3,Bulgaria
Erik,Kelly,17,Male,3.2,Boogie Superstar,4,Russia
